storm_id,storm_name,year,peak_t,peak_affected_population_proxy,peak_affected_population_share_proxy,peak_n_unserved_buses,peak_unserved_bus_share,peak_n_failed_lines_cumulative,peak_failed_line_share_cumulative,final_affected_population_proxy,final_n_unserved_buses,final_n_failed_lines_cumulative,n_timesteps,peak_affected_population_proxy_norm,peak_n_failed_lines_norm,peak_n_unserved_buses_norm,grid_impact_index_v5r_stoch,rank_index
WP052008,HALONG,2008,18,2521507.814537049,0.0163145980974003,2,0.0104166666666666,10,0.0423728813559322,2521507.814537049,2,10,19,0.0571976121962102,0.2040816326530612,0.0588235294117647,0.0941625048927561,69
WP281962,LUCY,1962,7,3775600.35026598,0.024428796903135,5,0.0260416666666666,4,0.0169491525423728,3775600.35026598,5,4,8,0.0856453124584262,0.0816326530612244,0.1470588235294117,0.0938541742697736,70
WP241952,DELLA,1952,11,3358329.158587277,0.021728979059774,2,0.0104166666666666,7,0.0296610169491525,3358329.158587277,2,7,16,0.0761799776041414,0.1428571428571428,0.0588235294117647,0.0902458016885352,71
WP281978,RITA,1978,8,2774997.497795403,0.0179547208368004,2,0.0104166666666666,8,0.0338983050847457,2774997.497795403,2,8,9,0.0629477449204324,0.1632653061224489,0.0588235294117647,0.0874085028946363,72
WP031951,IRIS,1951,10,2815353.5528185964,0.0182158315954918,3,0.015625,7,0.0296610169491525,2815353.5528185964,3,7,18,0.063863177334196,0.1428571428571428,0.088235294117647,0.0872674862324504,73
WP031952,EMMA,1952,8,3116134.8732585907,0.0201619395273781,2,0.0104166666666666,7,0.0296610169491525,3116134.8732585907,2,7,12,0.0706860684722707,0.1428571428571428,0.0588235294117647,0.0869494562094128,74
WP091987,BETTY,1987,3,2229827.26023674,0.0144273737196681,2,0.0104166666666666,9,0.0381355932203389,2229827.26023674,2,9,10,0.0505811618588918,0.1836734693877551,0.0588235294117647,0.0850905938740385,75
WP232006,CHEBI,2006,6,1686418.1751303673,0.0109114215679933,2,0.0104166666666666,10,0.0423728813559322,1686418.1751303673,2,10,10,0.0382545285902503,0.2040816326530612,0.0588235294117647,0.0827966547291802,76
WP131954,NANCY,1954,7,2731673.5851630867,0.017674407518504,2,0.0104166666666666,7,0.0296610169491525,2731673.5851630867,2,7,9,0.0619649899437159,0.1428571428571428,0.0588235294117647,0.0817168090922799,77
WP111998,VICKI,1998,13,267835.4151992798,0.0017329421428062,1,0.0052083333333333,14,0.059322033898305,267835.4151992798,1,14,18,0.0060755497653661,0.2857142857142857,0.0294117647058823,0.0794856659936734,78
WP112013,UTOR,2013,6,1427530.9992292223,0.0092363761039071,2,0.0104166666666666,10,0.0423728813559322,1427530.9992292223,2,10,9,0.0323819597231638,0.2040816326530612,0.0588235294117647,0.0792731134089283,79
WP031964,WINNIE,1964,9,1691973.3228616714,0.0109473643487713,3,0.015625,8,0.0338983050847457,1691973.3228616714,3,8,10,0.0383805409641942,0.1632653061224489,0.088235294117647,0.0770799452267758,80
WP262022,NALGAE,2022,17,487412.2877216339,0.003153643044875,2,0.0104166666666666,12,0.0508474576271186,487412.2877216339,2,12,33,0.0110564079365695,0.2448979591836734,0.0588235294117647,0.0766818639696248,81
WP252020,VAMCO,2020,9,389384.9829298258,0.0025193891785854,2,0.0104166666666666,12,0.0508474576271186,389384.9829298258,2,12,11,0.0088327670928663,0.2448979591836734,0.0588235294117647,0.0753476794634028,82
WP121950,OSSIA,1950,11,3358329.158587277,0.021728979059774,2,0.0104166666666666,4,0.0169491525423728,3358329.158587277,2,4,15,0.0761799776041414,0.0816326530612244,0.0588235294117647,0.0749396792395556,83
WP011975,LOLA,1975,6,3345235.9369101524,0.0216442636175965,4,0.0208333333333333,2,0.0084745762711864,3345235.9369101524,4,2,7,0.0758829723711734,0.0408163265306122,0.1176470588235294,0.0733809238788865,84
WP211971,ROSE,1971,8,2731673.5851630867,0.017674407518504,2,0.0104166666666666,5,0.0211864406779661,2731673.5851630867,2,5,10,0.0619649899437159,0.1020408163265306,0.0588235294117647,0.0715127274596269,85
WP092003,IMBUDO,2003,6,3358329.158587277,0.021728979059774,2,0.0104166666666666,3,0.0127118644067796,3358329.158587277,2,3,8,0.0761799776041414,0.0612244897959183,0.0588235294117647,0.0698376384232291,86
WP181998,ZEB,1998,5,3358329.158587277,0.021728979059774,2,0.0104166666666666,3,0.0127118644067796,3358329.158587277,2,3,11,0.0761799776041414,0.0612244897959183,0.0588235294117647,0.0698376384232291,87
WP061946,INGRID,1946,6,2117531.6196603477,0.0137008012166873,1,0.0052083333333333,7,0.0296610169491525,2117531.6196603477,1,7,12,0.0480338596201347,0.1428571428571428,0.0294117647058823,0.0689463661922489,88
WP251968,MAMIE,1968,6,3345235.9369101524,0.0216442636175965,4,0.0208333333333333,1,0.0042372881355932,3345235.9369101524,4,1,12,0.0758829723711734,0.0204081632653061,0.1176470588235294,0.06827888306256,89
WP022005,ROKE,2005,5,3345235.9369101524,0.0216442636175965,4,0.0208333333333333,1,0.0042372881355932,3345235.9369101524,4,1,6,0.0758829723711734,0.0204081632653061,0.1176470588235294,0.06827888306256,90
